country_name,year,co2_emissions,male_death_rate,female_death_rate,cigarette_sales,land_area,GDP,population,gdp_norm,co2_norm
Poland,1977,419024.423,52.59,6.92,9.399999618530272,306130.0,65977749037.0,34689050.0,1901.9762442903452,1.3687793519093197
Poland,1978,432056.941,55.5,7.01,9.399999618530272,306130.0,65977749037.0,34965600.0,1886.9331296188254,1.411351193937216
Poland,1979,442489.556,56.87,6.93,9.5,306130.0,65977749037.0,35247217.0,1871.8569763110659,1.4454302289876848
Poland,1980,464575.897,60.24,7.9,9.600000381469728,306130.0,65977749037.0,35574150.0,1854.6542654427442,1.5175771632966386
Poland,1981,410062.275,62.32,7.69,9.100000381469728,306130.0,65977749037.0,35898587.0,1837.8926456631846,1.3395037239081438
Poland,1982,422211.046,62.68,8.05,9.199999809265137,306130.0,65977749037.0,36230481.0,1821.0563927373748,1.3791887302779864
Poland,1983,422339.391,67.36,8.4,8.600000381469727,306130.0,65977749037.0,36571808.0,1804.0603581042535,1.37960798026982
Poland,1984,433894.108,69.55,8.92,8.800000190734863,306130.0,65977749037.0,36904134.0,1787.814585677583,1.4173524581060335
Poland,1985,445899.866,71.11,9.06,9.199999809265137,306130.0,65977749037.0,37201885.0,1773.5055370715759,1.4565703001992616
Poland,1986,453369.545,72.37,9.34,9.699999809265137,306130.0,65977749037.0,37456119.0,1761.4678401945487,1.4809706497239734
Poland,1987,465353.301,72.97,9.56,10.10000038146973,306130.0,65977749037.0,37668045.0,1751.5575612432235,1.5201166203900303
Poland,1988,445976.873,75.5,10.16,9.199999809265137,306130.0,65977749037.0,37824487.0,1744.3131227926501,1.456821850194362
Poland,1989,423787.856,75.42,10.33,9.300000190734863,306130.0,65977749037.0,37961529.0,1738.0161119695679,1.3843395158919414
Poland,1990,350210.0,77.47,10.96,9.899999618530272,306130.0,65977749037.0,38110782.0,1731.2095311242892,1.1439911148858328
Poland,1991,351620.0,78.14,11.18,10.69999980926514,306130.0,85500935935.0,38246193.0,2235.5410886254745,1.1485970012739686
Poland,1992,343370.0,76.47,10.95,9.100000381469728,306130.0,94337050693.0,38363667.0,2459.020684675425,1.121647666024238
Poland,1993,344020.0,78.25,11.69,9.699999809265137,306130.0,96045645026.0,38461408.0,2497.195241162258,1.1237709469833077
Poland,1994,339750.0,77.69,11.79,8.899999618530273,306130.0,110803000000.0,38542652.0,2874.8151528338008,1.1098226243752654
Poland,1995,340000.0,78.91,12.44,9.300000190734863,306130.0,142293000000.0,38594998.0,3686.8249092796946,1.1106392708979844
Poland,1996,355320.0,76.8,12.48,8.199999809265137,306130.0,160193000000.0,38624370.0,4147.45923363928,1.1606833698102113
Poland,1999,308980.0,74.1,12.79,7.800000190734863,306130.0,170031000000.0,38660271.0,4398.080913607667,1.0093097703589977
Poland,2000,295770.0,75.82,13.9,6.5,306130.0,172219000000.0,38258629.0,4501.442014558336,0.9661581680985203
Poland,2001,293630.0,76.47,14.26,6.599999904632568,306130.0,190905000000.0,38248076.0,4991.23145436126,0.9591676738640447
Poland,2002,287320.007324219,76.27,15.09,6.599999904632568,306130.0,199072000000.0,38230364.0,5207.169882034082,0.9385555395558063
Poland,2003,297730.010986328,73.53,15.4,6.300000190734863,306130.0,217827000000.0,38204570.0,5701.59538505472,0.9725607127244243
Poland,2004,301850.006103516,73.11,14.9,6.199999809265137,306130.0,255110000000.0,38182222.0,6681.381717386694,0.9860190314687093
Poland,2005,301350.006103516,72.03,15.76,6.400000095367432,306130.0,306144000000.0,38165445.0,8021.496932631075,0.984385738423271
Poland,2006,314089.996337891,71.08,16.03,5.800000190734863,306130.0,344622000000.0,38141267.0,9035.410386340864,1.026002013320782
Poland,2007,313380.004882813,69.23,17.04,5.699999809265137,306130.0,429029000000.0,38120560.0,11254.53036366727,1.0236827651089833
Poland,2008,308329.986572266,69.12,17.01,5.199999809265137,306130.0,533609000000.0,38125759.0,13996.023003764987,1.007186445537079
Poland,2009,297260.009765625,65.79,17.63,5.400000095367432,306130.0,439738000000.0,38151603.0,11526.068773571586,0.9710254132741809
Poland,2010,313739.990234375,63.34,17.94,5.0,306130.0,475697000000.0,38042794.0,12504.260333770437,1.0248586882513149
Poland,2011,310589.996337891,61.14,17.84,4.800000190734863,306130.0,524383000000.0,38063255.0,13776.619997422711,1.0145689620027145
Poland,2012,303350.006103516,60.51,18.0,4.300000190734863,306130.0,495237000000.0,38063164.0,13010.925733867001,0.9909189106050239
Portugal,1960,8225.081,9.54,2.42,3.099999904632568,91605.6,3193200404.0,8857716.0,360.49929846475095,0.08978797147772624
Portugal,1961,9090.493,9.81,2.89,2.799999952316284,91605.6,3417516639.0,8929316.0,382.72994695226373,0.09923512318024226
Portugal,1962,9303.179,10.34,2.72,2.900000095367432,91605.6,3668222358.0,8993985.0,407.85284365050643,0.10155688080204703
Portugal,1963,10025.578,11.21,2.74,3.299999952316284,91605.6,3905734460.0,9030355.0,432.51172960531454,0.10944285065541844
Portugal,1964,11023.002,11.18,2.71,3.400000095367432,91605.6,4235608178.0,9035365.0,468.78108167185275,0.12033109329560637
Portugal,1965,11598.721,11.78,2.24,3.5,91605.6,4687464055.0,8998595.0,520.9106593862708,0.12661585099600897
Portugal,1966,11851.744,13.56,3.31,3.700000047683716,91605.6,5135387846.0,8930990.0,575.0076806714598,0.12937794195988017
